date,open,high,low,close,volume
2005-04-01 00:00:00,1000.0,1000.0,1000.0,1000.0,0
2005-04-04 00:00:00,996.81,996.81,996.81,996.81,0
2005-04-05 00:00:00,985.34,985.34,985.34,985.34,0
2005-04-06 00:00:00,994.42,994.42,994.42,994.42,0
2005-04-07 00:00:00,992.09,992.09,992.09,992.09,0
2005-04-08 00:00:00,982.17,982.17,982.17,982.17,0
2005-04-11 00:00:00,973.97,973.97,973.97,973.97,0
2005-04-12 00:00:00,982.55,982.55,982.55,982.55,0
2005-04-13 00:00:00,982.54,982.54,982.54,982.54,0
2005-04-15 00:00:00,948.26,948.26,948.26,948.26,0
2005-04-18 00:00:00,934.03,934.03,934.03,934.03,0
2005-04-19 00:00:00,922.97,922.97,922.97,922.97,0
2005-04-20 00:00:00,941.84,941.84,941.84,941.84,0
2005-04-21 00:00:00,953.51,953.51,953.51,953.51,0
2005-04-22 00:00:00,964.93,964.93,964.93,964.93,0
2005-04-25 00:00:00,967.07,967.07,967.07,967.07,0
2005-04-26 00:00:00,962.65,962.65,962.65,962.65,0
2005-04-27 00:00:00,956.4,956.4,956.4,956.4,0
2005-04-28 00:00:00,957.66,957.66,957.66,957.66,0
2005-04-29 00:00:00,939.42,939.42,939.42,939.42,0
2005-05-02 00:00:00,943.21,943.21,943.21,943.21,0
2005-05-03 00:00:00,942.66,942.66,942.66,942.66,0
2005-05-04 00:00:00,955.2,955.2,955.2,955.2,0
2005-05-05 00:00:00,966.77,966.77,966.77,966.77,0
2005-05-06 00:00:00,971.52,971.52,971.52,971.52,0
2005-05-09 00:00:00,985.23,985.23,985.23,985.23,0
2005-05-10 00:00:00,984.09,984.09,984.09,984.09,0
2005-05-11 00:00:00,979.59,979.59,979.59,979.59,0
2005-05-12 00:00:00,984.54,984.54,984.54,984.54,0
2005-05-13 00:00:00,983.76,983.76,983.76,983.76,0
2005-05-16 00:00:00,992.46,992.46,992.46,992.46,0
2005-05-17 00:00:00,983.13,983.13,983.13,983.13,0
2005-05-18 00:00:00,979.53,979.53,979.53,979.53,0
2005-05-19 00:00:00,985.9,985.9,985.9,985.9,0
2005-05-20 00:00:00,985.32,985.32,985.32,985.32,0
2005-05-23 00:00:00,988.28,988.28,988.28,988.28,0
2005-05-24 00:00:00,997.13,997.13,997.13,997.13,0
2005-05-25 00:00:00,1004.62,1004.62,1004.62,1004.62,0
2005-05-26 00:00:00,1012.98,1012.98,1012.98,1012.98,0
2005-05-27 00:00:00,1016.84,1016.84,1016.84,1016.84,0
2005-05-30 00:00:00,1012.86,1012.86,1012.86,1012.86,0
2005-05-31 00:00:00,1020.12,1020.12,1020.12,1020.12,0
2005-06-01 00:00:00,1022.33,1022.33,1022.33,1022.33,0
2005-06-02 00:00:00,1013.47,1013.47,1013.47,1013.47,0
2005-06-03 00:00:00,1021.74,1021.74,1021.74,1021.74,0
2005-06-04 00:00:00,1025.32,1025.32,1025.32,1025.32,0
2005-06-06 00:00:00,1023.66,1023.66,1023.66,1023.66,0
2005-06-07 00:00:00,1023.2,1023.2,1023.2,1023.2,0
2005-06-08 00:00:00,1029.16,1029.16,1029.16,1029.16,0
2005-06-09 00:00:00,1025.19,1025.19,1025.19,1025.19,0
2005-06-10 00:00:00,1016.08,1016.08,1016.08,1016.08,0
2005-06-13 00:00:00,1015.35,1015.35,1015.35,1015.35,0
2005-06-14 00:00:00,1016.6,1016.6,1016.6,1016.6,0
2005-06-15 00:00:00,1021.54,1021.54,1021.54,1021.54,0
2005-06-16 00:00:00,1016.65,1016.65,1016.65,1016.65,0
2005-06-17 00:00:00,1012.92,1012.92,1012.92,1012.92,0
2005-06-20 00:00:00,1015.41,1015.41,1015.41,1015.41,0
2005-06-21 00:00:00,1026.25,1026.25,1026.25,1026.25,0
2005-06-22 00:00:00,1029.69,1029.69,1029.69,1029.69,0
2005-06-23 00:00:00,1032.95,1032.95,1032.95,1032.95,0
2005-06-24 00:00:00,1038.62,1038.62,1038.62,1038.62,0
2005-06-27 00:00:00,1037.41,1037.41,1037.41,1037.41,0
2005-06-28 00:00:00,1020.09,1020.09,1020.09,1020.09,0
2005-06-29 00:00:00,1028.31,1028.31,1028.31,1028.31,0
2005-06-30 00:00:00,1031.1,1031.1,1031.1,1031.1,0
2005-07-01 00:00:00,1037.79,1037.79,1037.79,1037.79,0
2005-07-04 00:00:00,1046.9,1046.9,1046.9,1046.9,0
2005-07-05 00:00:00,1040.1,1040.1,1040.1,1040.1,0
2005-07-06 00:00:00,1050.52,1050.52,1050.52,1050.52,0
2005-07-07 00:00:00,1035.57,1035.57,1035.57,1035.57,0
2005-07-08 00:00:00,1048.88,1048.88,1048.88,1048.88,0
2005-07-11 00:00:00,1056.88,1056.88,1056.88,1056.88,0
2005-07-12 00:00:00,1056.51,1056.51,1056.51,1056.51,0
2005-07-13 00:00:00,1054.43,1054.43,1054.43,1054.43,0
2005-07-14 00:00:00,1047.96,1047.96,1047.96,1047.96,0
2005-07-15 00:00:00,1057.72,1057.72,1057.72,1057.72,0
2005-07-18 00:00:00,1072.97,1072.97,1072.97,1072.97,0
2005-07-19 00:00:00,1077.41,1077.41,1077.41,1077.41,0
2005-07-20 00:00:00,1079.48,1079.48,1079.48,1079.48,0
2005-07-21 00:00:00,1075.88,1075.88,1075.88,1075.88,0
2005-07-22 00:00:00,1087.02,1087.02,1087.02,1087.02,0
2005-07-25 00:00:00,1092.65,1092.65,1092.65,1092.65,0
2005-07-26 00:00:00,1091.32,1091.32,1091.32,1091.32,0
2005-07-27 00:00:00,1092.31,1092.31,1092.31,1092.31,0
2005-07-29 00:00:00,1078.8,1078.8,1078.8,1078.8,0
2005-08-01 00:00:00,1089.48,1089.48,1089.48,1089.48,0
2005-08-02 00:00:00,1107.47,1107.47,1107.47,1107.47,0
2005-08-03 00:00:00,1112.18,1112.18,1112.18,1112.18,0
2005-08-04 00:00:00,1120.44,1120.44,1120.44,1120.44,0
2005-08-05 00:00:00,1117.22,1117.22,1117.22,1117.22,0
2005-08-08 00:00:00,1100.13,1100.13,1100.13,1100.13,0
2005-08-09 00:00:00,1096.27,1096.27,1096.27,1096.27,0
2005-08-10 00:00:00,1118.41,1118.41,1118.41,1118.41,0
2005-08-11 00:00:00,1132.4,1132.4,1132.4,1132.4,0
2005-08-12 00:00:00,1133.42,1133.42,1133.42,1133.42,0
2005-08-16 00:00:00,1139.7,1139.7,1139.7,1139.7,0
2005-08-17 00:00:00,1149.68,1149.68,1149.68,1149.68,0
2005-08-18 00:00:00,1137.03,1137.03,1137.03,1137.03,0
2005-08-19 00:00:00,1136.18,1136.18,1136.18,1136.18,0
2005-08-22 00:00:00,1134.51,1134.51,1134.51,1134.51,0
2005-08-23 00:00:00,1111.6,1111.6,1111.6,1111.6,0
2005-08-24 00:00:00,1097.26,1097.26,1097.26,1097.26,0
2005-08-25 00:00:00,1111.37,1111.37,1111.37,1111.37,0
2005-08-26 00:00:00,1117.34,1117.34,1117.34,1117.34,0
2005-08-29 00:00:00,1107.46,1107.46,1107.46,1107.46,0
2005-08-30 00:00:00,1127.01,1127.01,1127.01,1127.01,0
2005-08-31 00:00:00,1134.2,1134.2,1134.2,1134.2,0
2005-09-01 00:00:00,1148.13,1148.13,1148.13,1148.13,0
2005-09-02 00:00:00,1152.93,1152.93,1152.93,1152.93,0
2005-09-05 00:00:00,1156.18,1156.18,1156.18,1156.18,0
2005-09-06 00:00:00,1160.42,1160.42,1160.42,1160.42,0
2005-09-08 00:00:00,1169.22,1169.22,1169.22,1169.22,0
2005-09-09 00:00:00,1165.67,1165.67,1165.67,1165.67,0
2005-09-12 00:00:00,1174.3,1174.3,1174.3,1174.3,0
2005-09-13 00:00:00,1181.94,1181.94,1181.94,1181.94,0
2005-09-14 00:00:00,1180.46,1180.46,1180.46,1180.46,0
2005-09-15 00:00:00,1193.1,1193.1,1193.1,1193.1,0
2005-09-16 00:00:00,1198.22,1198.22,1198.22,1198.22,0
2005-09-19 00:00:00,1211.69,1211.69,1211.69,1211.69,0
2005-09-20 00:00:00,1210.23,1210.23,1210.23,1210.23,0
2005-09-21 00:00:00,1193.71,1193.71,1193.71,1193.71,0
2005-09-22 00:00:00,1149.04,1149.04,1149.04,1149.04,0
2005-09-23 00:00:00,1148.47,1148.47,1148.47,1148.47,0
2005-09-26 00:00:00,1187.93,1187.93,1187.93,1187.93,0
2005-09-27 00:00:00,1196.53,1196.53,1196.53,1196.53,0
2005-09-28 00:00:00,1204.24,1204.24,1204.24,1204.24,0
2005-09-29 00:00:00,1205.3,1205.3,1205.3,1205.3,0
2005-09-30 00:00:00,1208.1,1208.1,1208.1,1208.1,0
2005-10-03 00:00:00,1226.87,1226.87,1226.87,1226.87,0
2005-10-04 00:00:00,1248.51,1248.51,1248.51,1248.51,0
2005-10-05 00:00:00,1241.08,1241.08,1241.08,1241.08,0
2005-10-06 00:00:00,1211.85,1211.85,1211.85,1211.85,0
2005-10-07 00:00:00,1203.79,1203.79,1203.79,1203.79,0
2005-10-10 00:00:00,1197.99,1197.99,1197.99,1197.99,0
2005-10-11 00:00:00,1202.96,1202.96,1202.96,1202.96,0
2005-10-13 00:00:00,1174.44,1174.44,1174.44,1174.44,0
2005-10-14 00:00:00,1159.38,1159.38,1159.38,1159.38,0
2005-10-17 00:00:00,1160.63,1160.63,1160.63,1160.63,0
2005-10-18 00:00:00,1155.51,1155.51,1155.51,1155.51,0
2005-10-19 00:00:00,1128.52,1128.52,1128.52,1128.52,0
2005-10-20 00:00:00,1120.58,1120.58,1120.58,1120.58,0
2005-10-21 00:00:00,1137.63,1137.63,1137.63,1137.63,0
2005-10-24 00:00:00,1122.93,1122.93,1122.93,1122.93,0
2005-10-25 00:00:00,1129.55,1129.55,1129.55,1129.55,0
2005-10-26 00:00:00,1123.21,1123.21,1123.21,1123.21,0
2005-10-27 00:00:00,1103.41,1103.41,1103.41,1103.41,0
2005-10-28 00:00:00,1070.33,1070.33,1070.33,1070.33,0
